labels,source,path
male_neutral,RAVDESS,data/RAVDESS/Actor_01/03-01-01-01-01-01-01.wav
male_neutral,RAVDESS,data/RAVDESS/Actor_01/03-01-01-01-01-02-01.wav
male_neutral,RAVDESS,data/RAVDESS/Actor_01/03-01-01-01-02-01-01.wav
male_neutral,RAVDESS,data/RAVDESS/Actor_01/03-01-01-01-02-02-01.wav
male_neutral,RAVDESS,data/RAVDESS/Actor_01/03-01-02-01-01-01-01.wav
male_neutral,RAVDESS,data/RAVDESS/Actor_01/03-01-02-01-01-02-01.wav
male_neutral,RAVDESS,data/RAVDESS/Actor_01/03-01-02-01-02-01-01.wav
male_neutral,RAVDESS,data/RAVDESS/Actor_01/03-01-02-01-02-02-01.wav
male_neutral,RAVDESS,data/RAVDESS/Actor_01/03-01-02-02-01-01-01.wav
male_neutral,RAVDESS,data/RAVDESS/Actor_01/03-01-02-02-01-02-01.wav
male_neutral,RAVDESS,data/RAVDESS/Actor_01/03-01-02-02-02-01-01.wav
male_neutral,RAVDESS,data/RAVDESS/Actor_01/03-01-02-02-02-02-01.wav
male_happy,RAVDESS,data/RAVDESS/Actor_01/03-01-03-01-01-01-01.wav
male_happy,RAVDESS,data/RAVDESS/Actor_01/03-01-03-01-01-02-01.wav
male_happy,RAVDESS,data/RAVDESS/Actor_01/03-01-03-01-02-01-01.wav
male_happy,RAVDESS,data/RAVDESS/Actor_01/03-01-03-01-02-02-01.wav
male_happy,RAVDESS,data/RAVDESS/Actor_01/03-01-03-02-01-01-01.wav
male_happy,RAVDESS,data/RAVDESS/Actor_01/03-01-03-02-01-02-01.wav
male_happy,RAVDESS,data/RAVDESS/Actor_01/03-01-03-02-02-01-01.wav
male_happy,RAVDESS,data/RAVDESS/Actor_01/03-01-03-02-02-02-01.wav
male_sad,RAVDESS,data/RAVDESS/Actor_01/03-01-04-01-01-01-01.wav
male_sad,RAVDESS,data/RAVDESS/Actor_01/03-01-04-01-01-02-01.wav
male_sad,RAVDESS,data/RAVDESS/Actor_01/03-01-04-01-02-01-01.wav
male_sad,RAVDESS,data/RAVDESS/Actor_01/03-01-04-01-02-02-01.wav
male_sad,RAVDESS,data/RAVDESS/Actor_01/03-01-04-02-01-01-01.wav
male_sad,RAVDESS,data/RAVDESS/Actor_01/03-01-04-02-01-02-01.wav
male_sad,RAVDESS,data/RAVDESS/Actor_01/03-01-04-02-02-01-01.wav
male_sad,RAVDESS,data/RAVDESS/Actor_01/03-01-04-02-02-02-01.wav
male_angry,RAVDESS,data/RAVDESS/Actor_01/03-01-05-01-01-01-01.wav
male_angry,RAVDESS,data/RAVDESS/Actor_01/03-01-05-01-01-02-01.wav
male_angry,RAVDESS,data/RAVDESS/Actor_01/03-01-05-01-02-01-01.wav
male_angry,RAVDESS,data/RAVDESS/Actor_01/03-01-05-01-02-02-01.wav
male_angry,RAVDESS,data/RAVDESS/Actor_01/03-01-05-02-01-01-01.wav
male_angry,RAVDESS,data/RAVDESS/Actor_01/03-01-05-02-01-02-01.wav
male_angry,RAVDESS,data/RAVDESS/Actor_01/03-01-05-02-02-01-01.wav
male_angry,RAVDESS,data/RAVDESS/Actor_01/03-01-05-02-02-02-01.wav
male_fear,RAVDESS,data/RAVDESS/Actor_01/03-01-06-01-01-01-01.wav
male_fear,RAVDESS,data/RAVDESS/Actor_01/03-01-06-01-01-02-01.wav
male_fear,RAVDESS,data/RAVDESS/Actor_01/03-01-06-01-02-01-01.wav
male_fear,RAVDESS,data/RAVDESS/Actor_01/03-01-06-01-02-02-01.wav
male_fear,RAVDESS,data/RAVDESS/Actor_01/03-01-06-02-01-01-01.wav
male_fear,RAVDESS,data/RAVDESS/Actor_01/03-01-06-02-01-02-01.wav
male_fear,RAVDESS,data/RAVDESS/Actor_01/03-01-06-02-02-01-01.wav
male_fear,RAVDESS,data/RAVDESS/Actor_01/03-01-06-02-02-02-01.wav
male_disgust,RAVDESS,data/RAVDESS/Actor_01/03-01-07-01-01-01-01.wav
male_disgust,RAVDESS,data/RAVDESS/Actor_01/03-01-07-01-01-02-01.wav
male_disgust,RAVDESS,data/RAVDESS/Actor_01/03-01-07-01-02-01-01.wav
male_disgust,RAVDESS,data/RAVDESS/Actor_01/03-01-07-01-02-02-01.wav
male_disgust,RAVDESS,data/RAVDESS/Actor_01/03-01-07-02-01-01-01.wav
male_disgust,RAVDESS,data/RAVDESS/Actor_01/03-01-07-02-01-02-01.wav
male_disgust,RAVDESS,data/RAVDESS/Actor_01/03-01-07-02-02-01-01.wav
male_disgust,RAVDESS,data/RAVDESS/Actor_01/03-01-07-02-02-02-01.wav
male_surprise,RAVDESS,data/RAVDESS/Actor_01/03-01-08-01-01-01-01.wav
male_surprise,RAVDESS,data/RAVDESS/Actor_01/03-01-08-01-01-02-01.wav
male_surprise,RAVDESS,data/RAVDESS/Actor_01/03-01-08-01-02-01-01.wav
male_surprise,RAVDESS,data/RAVDESS/Actor_01/03-01-08-01-02-02-01.wav
male_surprise,RAVDESS,data/RAVDESS/Actor_01/03-01-08-02-01-01-01.wav
male_surprise,RAVDESS,data/RAVDESS/Actor_01/03-01-08-02-01-02-01.wav
male_surprise,RAVDESS,data/RAVDESS/Actor_01/03-01-08-02-02-01-01.wav
male_surprise,RAVDESS,data/RAVDESS/Actor_01/03-01-08-02-02-02-01.wav
